Area,MTU,Solar - Actual Aggregated [MW] (D - 2),Solar - Actual Aggregated [MW] (D - 1),Solar - Actual Aggregated [MW] (D),Wind Offshore - Actual Aggregated [MW] (D - 2),Wind Offshore - Actual Aggregated [MW] (D - 1),Wind Offshore - Actual Aggregated [MW] (D),Wind Onshore - Actual Aggregated [MW] (D - 2),Wind Onshore - Actual Aggregated [MW] (D - 1),Wind Onshore - Actual Aggregated [MW] (D)
BZN|NL,02.09.2025 10:15 - 02.09.2025 10:30 (CET/CEST),155,98,188,2396,4242,3317,749,1922,1380
BZN|NL,02.09.2025 10:30 - 02.09.2025 10:45 (CET/CEST),176,103,211,2245,4262,3340,757,1919,1370
BZN|NL,02.09.2025 10:45 - 02.09.2025 11:00 (CET/CEST),185,72,212,2102,4198,3229,742,1923,1365
BZN|NL,02.09.2025 11:00 - 02.09.2025 11:15 (CET/CEST),245,77,247,2008,4231,3386,766,1962,1367
BZN|NL,02.09.2025 11:15 - 02.09.2025 11:30 (CET/CEST),253,102,273,1916,4249,3390,888,1958,1348
BZN|NL,02.09.2025 11:30 - 02.09.2025 11:45 (CET/CEST),247,92,271,1627,4173,3433,936,1935,1359
BZN|NL,02.09.2025 11:45 - 02.09.2025 12:00 (CET/CEST),266,85,287,1595,3851,3480,916,1946,1377
BZN|NL,02.09.2025 12:00 - 02.09.2025 12:15 (CET/CEST),290,93,283,1750,2554,2109,966,1971,1382
BZN|NL,02.09.2025 12:15 - 02.09.2025 12:30 (CET/CEST),288,101,284,1793,2504,1992,914,1984,1377
BZN|NL,02.09.2025 12:30 - 02.09.2025 12:45 (CET/CEST),242,81,282,1781,2413,1866,989,1855,1359
BZN|NL,02.09.2025 12:45 - 02.09.2025 13:00 (CET/CEST),296,101,280,1719,2405,1961,1034,1852,1381
BZN|NL,02.09.2025 13:00 - 02.09.2025 13:15 (CET/CEST),321,155,257,1068,2418,1871,1010,1830,1400
BZN|NL,02.09.2025 13:15 - 02.09.2025 13:30 (CET/CEST),289,190,221,1237,2375,2007,1029,1794,1444
BZN|NL,02.09.2025 13:30 - 02.09.2025 13:45 (CET/CEST),293,174,240,1214,2300,2065,1001,1811,1499
BZN|NL,02.09.2025 13:45 - 02.09.2025 14:00 (CET/CEST),309,143,228,1329,2103,2091,955,1907,1469
BZN|NL,02.09.2025 14:00 - 02.09.2025 14:15 (CET/CEST),273,220,227,2213,1973,3104,949,1869,1401
BZN|NL,02.09.2025 14:15 - 02.09.2025 14:30 (CET/CEST),254,227,224,2447,2137,3330,981,1910,1441
BZN|NL,02.09.2025 14:30 - 02.09.2025 14:45 (CET/CEST),251,135,207,2262,2178,3290,993,2020,1453
BZN|NL,02.09.2025 14:45 - 02.09.2025 15:00 (CET/CEST),208,93,190,2289,2298,3403,935,2111,1443
BZN|NL,02.09.2025 15:00 - 02.09.2025 15:15 (CET/CEST),245,153,205,2154,3365,3538,909,2038,1417
BZN|NL,02.09.2025 15:15 - 02.09.2025 15:30 (CET/CEST),260,216,174,2003,3495,3404,833,2028,1461
BZN|NL,02.09.2025 15:30 - 02.09.2025 15:45 (CET/CEST),207,209,179,2034,3434,3522,782,2101,1403
BZN|NL,02.09.2025 15:45 - 02.09.2025 16:00 (CET/CEST),175,236,183,2287,3656,3534,832,2127,1364
BZN|NL,02.09.2025 16:00 - 02.09.2025 16:15 (CET/CEST),160,147,155,2123,4260,3244,778,2085,1317
BZN|NL,02.09.2025 16:15 - 02.09.2025 16:30 (CET/CEST),149,176,157,1872,4225,3215,851,2070,1311
BZN|NL,02.09.2025 16:30 - 02.09.2025 16:45 (CET/CEST),170,158,100,1890,4272,3148,835,2000,1281
BZN|NL,02.09.2025 16:45 - 02.09.2025 17:00 (CET/CEST),139,126,114,2036,4306,3151,852,2112,1275
BZN|NL,02.09.2025 17:00 - 02.09.2025 17:15 (CET/CEST),150,113,97,1857,4098,3320,875,2165,1271
BZN|NL,02.09.2025 17:15 - 02.09.2025 17:30 (CET/CEST),84,92,105,1742,4102,3238,854,2119,1279
BZN|NL,02.09.2025 17:30 - 02.09.2025 17:45 (CET/CEST),63,59,98,1704,4221,3145,871,2218,1193
BZN|NL,02.09.2025 17:45 - 02.09.2025 18:00 (CET/CEST),80,60,90,1969,4239,3025,850,2268,1097
BZN|NL,02.09.2025 18:00 - 02.09.2025 18:15 (CET/CEST),73,57,92,2277,4235,3002,746,2268,1011
BZN|NL,02.09.2025 18:15 - 02.09.2025 18:30 (CET/CEST),75,69,69,2616,4338,3201,683,2296,973
BZN|NL,02.09.2025 18:30 - 02.09.2025 18:45 (CET/CEST),77,79,50,2709,4352,3220,651,2248,986
BZN|NL,02.09.2025 18:45 - 02.09.2025 19:00 (CET/CEST),58,51,34,2547,4352,3336,604,2126,895
BZN|NL,02.09.2025 19:00 - 02.09.2025 19:15 (CET/CEST),39,45,23,2758,4333,3281,626,2131,964
BZN|NL,02.09.2025 19:15 - 02.09.2025 19:30 (CET/CEST),25,24,17,3198,4339,3372,800,2230,1219
BZN|NL,02.09.2025 19:30 - 02.09.2025 19:45 (CET/CEST),14,9,9,3237,4328,3374,959,2229,937
BZN|NL,02.09.2025 19:45 - 02.09.2025 20:00 (CET/CEST),6,4,4,2874,4307,3635,947,2227,871
BZN|NL,02.09.2025 20:00 - 02.09.2025 20:15 (CET/CEST),2,2,2,2787,4274,3364,1042,2226,817
BZN|NL,02.09.2025 20:15 - 02.09.2025 20:30 (CET/CEST),0,0,0,2816,4278,3346,1260,2140,683
BZN|NL,02.09.2025 20:30 - 02.09.2025 20:45 (CET/CEST),0,0,0,2838,4262,3410,1144,2020,575
BZN|NL,02.09.2025 20:45 - 02.09.2025 21:00 (CET/CEST),0,0,0,2948,4237,3262,885,2022,546
BZN|NL,02.09.2025 21:00 - 02.09.2025 21:15 (CET/CEST),0,0,0,2939,4216,3706,822,2020,539
BZN|NL,02.09.2025 21:15 - 02.09.2025 21:30 (CET/CEST),0,0,0,2946,4215,3773,977,2016,562
BZN|NL,02.09.2025 21:30 - 02.09.2025 21:45 (CET/CEST),0,0,0,3124,4218,3563,1153,2048,572
BZN|NL,02.09.2025 21:45 - 02.09.2025 22:00 (CET/CEST),0,0,0,3260,4234,3215,1153,2017,610
BZN|NL,02.09.2025 22:00 - 02.09.2025 22:15 (CET/CEST),0,0,0,3428,4315,2937,1166,1968,659
BZN|NL,02.09.2025 22:15 - 02.09.2025 22:30 (CET/CEST),0,0,0,3611,4309,2698,1183,2014,684
BZN|NL,02.09.2025 22:30 - 02.09.2025 22:45 (CET/CEST),0,0,0,3702,4322,2538,1178,1992,694
BZN|NL,02.09.2025 22:45 - 02.09.2025 23:00 (CET/CEST),0,0,0,3734,4319,2565,1251,1930,680
BZN|NL,02.09.2025 23:00 - 02.09.2025 23:15 (CET/CEST),0,0,0,3807,4330,2635,1182,1873,728
BZN|NL,02.09.2025 23:15 - 02.09.2025 23:30 (CET/CEST),0,0,0,3901,4362,2672,1243,1868,810
BZN|NL,02.09.2025 23:30 - 02.09.2025 23:45 (CET/CEST),0,0,0,3787,4380,2690,1329,1917,833
BZN|NL,02.09.2025 23:45 - 03.09.2025 00:00 (CET/CEST),0,0,0,3666,4383,2630,1375,2000,830
