"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","09.09.2025 00:00 - 09.09.2025 00:15 (CET/CEST)","0","38","91"
"BZN|NL","09.09.2025 00:15 - 09.09.2025 00:30 (CET/CEST)","0","24","97"
"BZN|NL","09.09.2025 00:30 - 09.09.2025 00:45 (CET/CEST)","0","17","101"
"BZN|NL","09.09.2025 00:45 - 09.09.2025 01:00 (CET/CEST)","0","15","99"
"BZN|NL","09.09.2025 01:00 - 09.09.2025 01:15 (CET/CEST)","0","20","95"
"BZN|NL","09.09.2025 01:15 - 09.09.2025 01:30 (CET/CEST)","0","29","86"
"BZN|NL","09.09.2025 01:30 - 09.09.2025 01:45 (CET/CEST)","0","30","87"
"BZN|NL","09.09.2025 01:45 - 09.09.2025 02:00 (CET/CEST)","0","40","88"
"BZN|NL","09.09.2025 02:00 - 09.09.2025 02:15 (CET/CEST)","0","59","86"
"BZN|NL","09.09.2025 02:15 - 09.09.2025 02:30 (CET/CEST)","0","56","87"
"BZN|NL","09.09.2025 02:30 - 09.09.2025 02:45 (CET/CEST)","0","26","85"
"BZN|NL","09.09.2025 02:45 - 09.09.2025 03:00 (CET/CEST)","0","9","79"
"BZN|NL","09.09.2025 03:00 - 09.09.2025 03:15 (CET/CEST)","0","6","75"
"BZN|NL","09.09.2025 03:15 - 09.09.2025 03:30 (CET/CEST)","0","7","74"
"BZN|NL","09.09.2025 03:30 - 09.09.2025 03:45 (CET/CEST)","0","2","75"
"BZN|NL","09.09.2025 03:45 - 09.09.2025 04:00 (CET/CEST)","0","0","77"
"BZN|NL","09.09.2025 04:00 - 09.09.2025 04:15 (CET/CEST)","0","0","79"
"BZN|NL","09.09.2025 04:15 - 09.09.2025 04:30 (CET/CEST)","0","0","81"
"BZN|NL","09.09.2025 04:30 - 09.09.2025 04:45 (CET/CEST)","0","0","79"
"BZN|NL","09.09.2025 04:45 - 09.09.2025 05:00 (CET/CEST)","0","1","77"
"BZN|NL","09.09.2025 05:00 - 09.09.2025 05:15 (CET/CEST)","0","2","73"
"BZN|NL","09.09.2025 05:15 - 09.09.2025 05:30 (CET/CEST)","0","3","73"
"BZN|NL","09.09.2025 05:30 - 09.09.2025 05:45 (CET/CEST)","0","6","70"
"BZN|NL","09.09.2025 05:45 - 09.09.2025 06:00 (CET/CEST)","0","12","74"
"BZN|NL","09.09.2025 06:00 - 09.09.2025 06:15 (CET/CEST)","0","20","82"
"BZN|NL","09.09.2025 06:15 - 09.09.2025 06:30 (CET/CEST)","0","24","81"
"BZN|NL","09.09.2025 06:30 - 09.09.2025 06:45 (CET/CEST)","0","14","78"
"BZN|NL","09.09.2025 06:45 - 09.09.2025 07:00 (CET/CEST)","0","12","88"
"BZN|NL","09.09.2025 07:00 - 09.09.2025 07:15 (CET/CEST)","1","18","106"
"BZN|NL","09.09.2025 07:15 - 09.09.2025 07:30 (CET/CEST)","4","30","108"
"BZN|NL","09.09.2025 07:30 - 09.09.2025 07:45 (CET/CEST)","4","51","118"
"BZN|NL","09.09.2025 07:45 - 09.09.2025 08:00 (CET/CEST)","6","66","120"
"BZN|NL","09.09.2025 08:00 - 09.09.2025 08:15 (CET/CEST)","10","68","127"
"BZN|NL","09.09.2025 08:15 - 09.09.2025 08:30 (CET/CEST)","15","29","155"
"BZN|NL","09.09.2025 08:30 - 09.09.2025 08:45 (CET/CEST)","20","26","160"
"BZN|NL","09.09.2025 08:45 - 09.09.2025 09:00 (CET/CEST)","23","46","161"
"BZN|NL","09.09.2025 09:00 - 09.09.2025 09:15 (CET/CEST)","30","50","144"
"BZN|NL","09.09.2025 09:15 - 09.09.2025 09:30 (CET/CEST)","37","49","125"
"BZN|NL","09.09.2025 09:30 - 09.09.2025 09:45 (CET/CEST)","44","55","119"
"BZN|NL","09.09.2025 09:45 - 09.09.2025 10:00 (CET/CEST)","49","70","123"
"BZN|NL","09.09.2025 10:00 - 09.09.2025 10:15 (CET/CEST)","48","73","116"
"BZN|NL","09.09.2025 10:15 - 09.09.2025 10:30 (CET/CEST)","27","71","120"
"BZN|NL","09.09.2025 10:30 - 09.09.2025 10:45 (CET/CEST)","21","109","119"
"BZN|NL","09.09.2025 10:45 - 09.09.2025 11:00 (CET/CEST)","15","124","115"
"BZN|NL","09.09.2025 11:00 - 09.09.2025 11:15 (CET/CEST)","10","157","133"
"BZN|NL","09.09.2025 11:15 - 09.09.2025 11:30 (CET/CEST)","8","187","144"
"BZN|NL","09.09.2025 11:30 - 09.09.2025 11:45 (CET/CEST)","9","207","146"
"BZN|NL","09.09.2025 11:45 - 09.09.2025 12:00 (CET/CEST)","12","267","157"
"BZN|NL","09.09.2025 12:00 - 09.09.2025 12:15 (CET/CEST)","13","276","150"
"BZN|NL","09.09.2025 12:15 - 09.09.2025 12:30 (CET/CEST)","15","211","140"
"BZN|NL","09.09.2025 12:30 - 09.09.2025 12:45 (CET/CEST)","13","175","145"
"BZN|NL","09.09.2025 12:45 - 09.09.2025 13:00 (CET/CEST)","10","227","153"
"BZN|NL","09.09.2025 13:00 - 09.09.2025 13:15 (CET/CEST)","12","309","151"
"BZN|NL","09.09.2025 13:15 - 09.09.2025 13:30 (CET/CEST)","11","335","156"
"BZN|NL","09.09.2025 13:30 - 09.09.2025 13:45 (CET/CEST)","20","310","153"
"BZN|NL","09.09.2025 13:45 - 09.09.2025 14:00 (CET/CEST)","51","326","153"
"BZN|NL","09.09.2025 14:00 - 09.09.2025 14:15 (CET/CEST)","62","345","173"
"BZN|NL","09.09.2025 14:15 - 09.09.2025 14:30 (CET/CEST)","60","293","213"
"BZN|NL","09.09.2025 14:30 - 09.09.2025 14:45 (CET/CEST)","68","237","256"
"BZN|NL","09.09.2025 14:45 - 09.09.2025 15:00 (CET/CEST)","71","218","290"
"BZN|NL","09.09.2025 15:00 - 09.09.2025 15:15 (CET/CEST)","70","190","335"
"BZN|NL","09.09.2025 15:15 - 09.09.2025 15:30 (CET/CEST)","71","182","407"
"BZN|NL","09.09.2025 15:30 - 09.09.2025 15:45 (CET/CEST)","66","150","502"
"BZN|NL","09.09.2025 15:45 - 09.09.2025 16:00 (CET/CEST)","61","124","510"
"BZN|NL","09.09.2025 16:00 - 09.09.2025 16:15 (CET/CEST)","53","104","517"
"BZN|NL","09.09.2025 16:15 - 09.09.2025 16:30 (CET/CEST)","42","145","525"
"BZN|NL","09.09.2025 16:30 - 09.09.2025 16:45 (CET/CEST)","37","237","535"
"BZN|NL","09.09.2025 16:45 - 09.09.2025 17:00 (CET/CEST)","31","253","509"
"BZN|NL","09.09.2025 17:00 - 09.09.2025 17:15 (CET/CEST)","33","230","469"
"BZN|NL","09.09.2025 17:15 - 09.09.2025 17:30 (CET/CEST)","32","228","399"
"BZN|NL","09.09.2025 17:30 - 09.09.2025 17:45 (CET/CEST)","31","262","355"
"BZN|NL","09.09.2025 17:45 - 09.09.2025 18:00 (CET/CEST)","25","214","308"
"BZN|NL","09.09.2025 18:00 - 09.09.2025 18:15 (CET/CEST)","18","254","271"
"BZN|NL","09.09.2025 18:15 - 09.09.2025 18:30 (CET/CEST)","19","292","270"
"BZN|NL","09.09.2025 18:30 - 09.09.2025 18:45 (CET/CEST)","20","328","273"
"BZN|NL","09.09.2025 18:45 - 09.09.2025 19:00 (CET/CEST)","16","454","267"
"BZN|NL","09.09.2025 19:00 - 09.09.2025 19:15 (CET/CEST)","12","609","253"
"BZN|NL","09.09.2025 19:15 - 09.09.2025 19:30 (CET/CEST)","9","707","247"
"BZN|NL","09.09.2025 19:30 - 09.09.2025 19:45 (CET/CEST)","6","691","243"
"BZN|NL","09.09.2025 19:45 - 09.09.2025 20:00 (CET/CEST)","1","661","239"
"BZN|NL","09.09.2025 20:00 - 09.09.2025 20:15 (CET/CEST)","0","533","214"
"BZN|NL","09.09.2025 20:15 - 09.09.2025 20:30 (CET/CEST)","0","399","196"
"BZN|NL","09.09.2025 20:30 - 09.09.2025 20:45 (CET/CEST)","0","317","191"
"BZN|NL","09.09.2025 20:45 - 09.09.2025 21:00 (CET/CEST)","0","316","183"
"BZN|NL","09.09.2025 21:00 - 09.09.2025 21:15 (CET/CEST)","0","317","184"
"BZN|NL","09.09.2025 21:15 - 09.09.2025 21:30 (CET/CEST)","0","340","172"
"BZN|NL","09.09.2025 21:30 - 09.09.2025 21:45 (CET/CEST)","0","343","160"
"BZN|NL","09.09.2025 21:45 - 09.09.2025 22:00 (CET/CEST)","0","337","173"
"BZN|NL","09.09.2025 22:00 - 09.09.2025 22:15 (CET/CEST)","0","436","184"
"BZN|NL","09.09.2025 22:15 - 09.09.2025 22:30 (CET/CEST)","0","706","163"
"BZN|NL","09.09.2025 22:30 - 09.09.2025 22:45 (CET/CEST)","0","795","153"
"BZN|NL","09.09.2025 22:45 - 09.09.2025 23:00 (CET/CEST)","0","766","137"
"BZN|NL","09.09.2025 23:00 - 09.09.2025 23:15 (CET/CEST)","0","668","137"
"BZN|NL","09.09.2025 23:15 - 09.09.2025 23:30 (CET/CEST)","0","574","130"
"BZN|NL","09.09.2025 23:30 - 09.09.2025 23:45 (CET/CEST)","0","556","131"
"BZN|NL","09.09.2025 23:45 - 10.09.2025 00:00 (CET/CEST)","0","562","131"
