"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","12.06.2025 00:00 - 12.06.2025 00:15 (CET/CEST)","0","2955","1105"
"BZN|NL","12.06.2025 00:15 - 12.06.2025 00:30 (CET/CEST)","0","2878","1179"
"BZN|NL","12.06.2025 00:30 - 12.06.2025 00:45 (CET/CEST)","0","2808","1238"
"BZN|NL","12.06.2025 00:45 - 12.06.2025 01:00 (CET/CEST)","0","2736","1271"
"BZN|NL","12.06.2025 01:00 - 12.06.2025 01:15 (CET/CEST)","0","2762","1308"
"BZN|NL","12.06.2025 01:15 - 12.06.2025 01:30 (CET/CEST)","0","2813","1315"
"BZN|NL","12.06.2025 01:30 - 12.06.2025 01:45 (CET/CEST)","0","2857","1320"
"BZN|NL","12.06.2025 01:45 - 12.06.2025 02:00 (CET/CEST)","0","2865","1287"
"BZN|NL","12.06.2025 02:00 - 12.06.2025 02:15 (CET/CEST)","0","2904","1256"
"BZN|NL","12.06.2025 02:15 - 12.06.2025 02:30 (CET/CEST)","0","2945","1245"
"BZN|NL","12.06.2025 02:30 - 12.06.2025 02:45 (CET/CEST)","0","2995","1259"
"BZN|NL","12.06.2025 02:45 - 12.06.2025 03:00 (CET/CEST)","0","3026","1259"
"BZN|NL","12.06.2025 03:00 - 12.06.2025 03:15 (CET/CEST)","0","3038","1259"
"BZN|NL","12.06.2025 03:15 - 12.06.2025 03:30 (CET/CEST)","0","2967","1299"
"BZN|NL","12.06.2025 03:30 - 12.06.2025 03:45 (CET/CEST)","0","2908","1326"
"BZN|NL","12.06.2025 03:45 - 12.06.2025 04:00 (CET/CEST)","0","2891","1285"
"BZN|NL","12.06.2025 04:00 - 12.06.2025 04:15 (CET/CEST)","0","2873","1272"
"BZN|NL","12.06.2025 04:15 - 12.06.2025 04:30 (CET/CEST)","0","2877","1248"
"BZN|NL","12.06.2025 04:30 - 12.06.2025 04:45 (CET/CEST)","0","2855","1194"
"BZN|NL","12.06.2025 04:45 - 12.06.2025 05:00 (CET/CEST)","0","2782","1190"
"BZN|NL","12.06.2025 05:00 - 12.06.2025 05:15 (CET/CEST)","0","2700","1178"
"BZN|NL","12.06.2025 05:15 - 12.06.2025 05:30 (CET/CEST)","3","2672","1150"
