"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","20.01.2025 14:00 - 20.01.2025 14:15 (CET/CEST)","18","1077","120"
"BZN|NL","20.01.2025 14:15 - 20.01.2025 14:30 (CET/CEST)","17","1161","138"
"BZN|NL","20.01.2025 14:30 - 20.01.2025 14:45 (CET/CEST)","15","1184","149"
"BZN|NL","20.01.2025 14:45 - 20.01.2025 15:00 (CET/CEST)","13","1154","164"
"BZN|NL","20.01.2025 15:00 - 20.01.2025 15:15 (CET/CEST)","11","1153","171"
"BZN|NL","20.01.2025 15:15 - 20.01.2025 15:30 (CET/CEST)","8","1112","175"
"BZN|NL","20.01.2025 15:30 - 20.01.2025 15:45 (CET/CEST)","6","1055","176"
"BZN|NL","20.01.2025 15:45 - 20.01.2025 16:00 (CET/CEST)","6","1064","161"
"BZN|NL","20.01.2025 16:00 - 20.01.2025 16:15 (CET/CEST)","4","1070","187"
"BZN|NL","20.01.2025 16:15 - 20.01.2025 16:30 (CET/CEST)","1","1073","197"
"BZN|NL","20.01.2025 16:30 - 20.01.2025 16:45 (CET/CEST)","0","1128","175"
"BZN|NL","20.01.2025 16:45 - 20.01.2025 17:00 (CET/CEST)","0","1210","185"
"BZN|NL","20.01.2025 17:00 - 20.01.2025 17:15 (CET/CEST)","0","1303","193"
"BZN|NL","20.01.2025 17:15 - 20.01.2025 17:30 (CET/CEST)","0","1381","191"
"BZN|NL","20.01.2025 17:30 - 20.01.2025 17:45 (CET/CEST)","0","1490","187"
"BZN|NL","20.01.2025 17:45 - 20.01.2025 18:00 (CET/CEST)","0","1507","187"
"BZN|NL","20.01.2025 18:00 - 20.01.2025 18:15 (CET/CEST)","0","1504","195"
"BZN|NL","20.01.2025 18:15 - 20.01.2025 18:30 (CET/CEST)","0","1394","194"
"BZN|NL","20.01.2025 18:30 - 20.01.2025 18:45 (CET/CEST)","0","1424","198"
"BZN|NL","20.01.2025 18:45 - 20.01.2025 19:00 (CET/CEST)","0","1421","226"
"BZN|NL","20.01.2025 19:00 - 20.01.2025 19:15 (CET/CEST)","0","1551","244"
"BZN|NL","20.01.2025 19:15 - 20.01.2025 19:30 (CET/CEST)","0","1633","222"
"BZN|NL","20.01.2025 19:30 - 20.01.2025 19:45 (CET/CEST)","0","1770","211"
"BZN|NL","20.01.2025 19:45 - 20.01.2025 20:00 (CET/CEST)","0","1861","231"
"BZN|NL","20.01.2025 20:00 - 20.01.2025 20:15 (CET/CEST)","0","1859","250"
"BZN|NL","20.01.2025 20:15 - 20.01.2025 20:30 (CET/CEST)","0","1834","244"
"BZN|NL","20.01.2025 20:30 - 20.01.2025 20:45 (CET/CEST)","0","1848","259"
"BZN|NL","20.01.2025 20:45 - 20.01.2025 21:00 (CET/CEST)","0","1889","267"
"BZN|NL","20.01.2025 21:00 - 20.01.2025 21:15 (CET/CEST)","0","1972","268"
"BZN|NL","20.01.2025 21:15 - 20.01.2025 21:30 (CET/CEST)","0","1982","267"
"BZN|NL","20.01.2025 21:30 - 20.01.2025 21:45 (CET/CEST)","0","1928","294"
"BZN|NL","20.01.2025 21:45 - 20.01.2025 22:00 (CET/CEST)","0","1932","304"
"BZN|NL","20.01.2025 22:00 - 20.01.2025 22:15 (CET/CEST)","0","1921","292"
"BZN|NL","20.01.2025 22:15 - 20.01.2025 22:30 (CET/CEST)","0","1905","312"
"BZN|NL","20.01.2025 22:30 - 20.01.2025 22:45 (CET/CEST)","0","1879","314"
"BZN|NL","20.01.2025 22:45 - 20.01.2025 23:00 (CET/CEST)","0","1832","323"
"BZN|NL","20.01.2025 23:00 - 20.01.2025 23:15 (CET/CEST)","0","1776","321"
"BZN|NL","20.01.2025 23:15 - 20.01.2025 23:30 (CET/CEST)","0","1723","315"
"BZN|NL","20.01.2025 23:30 - 20.01.2025 23:45 (CET/CEST)","0","1714","303"
"BZN|NL","20.01.2025 23:45 - 21.01.2025 00:00 (CET/CEST)","0","1746","321"
