"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","11.05.2025 00:00 - 11.05.2025 00:15 (CET/CEST)","0","2402","1262"
"BZN|NL","11.05.2025 00:15 - 11.05.2025 00:30 (CET/CEST)","0","2404","1273"
"BZN|NL","11.05.2025 00:30 - 11.05.2025 00:45 (CET/CEST)","0","2469","1281"
"BZN|NL","11.05.2025 00:45 - 11.05.2025 01:00 (CET/CEST)","0","2567","1267"
"BZN|NL","11.05.2025 01:00 - 11.05.2025 01:15 (CET/CEST)","0","2656","1246"
"BZN|NL","11.05.2025 01:15 - 11.05.2025 01:30 (CET/CEST)","0","2803","1219"
"BZN|NL","11.05.2025 01:30 - 11.05.2025 01:45 (CET/CEST)","0","2887","1167"
"BZN|NL","11.05.2025 01:45 - 11.05.2025 02:00 (CET/CEST)","0","2930","1115"
"BZN|NL","11.05.2025 02:00 - 11.05.2025 02:15 (CET/CEST)","0","2901","1074"
"BZN|NL","11.05.2025 02:15 - 11.05.2025 02:30 (CET/CEST)","0","2851","1055"
"BZN|NL","11.05.2025 02:30 - 11.05.2025 02:45 (CET/CEST)","0","2778","1025"
"BZN|NL","11.05.2025 02:45 - 11.05.2025 03:00 (CET/CEST)","0","2691","1004"
"BZN|NL","11.05.2025 03:00 - 11.05.2025 03:15 (CET/CEST)","0","2589","1015"
"BZN|NL","11.05.2025 03:15 - 11.05.2025 03:30 (CET/CEST)","0","2451","1016"
"BZN|NL","11.05.2025 03:30 - 11.05.2025 03:45 (CET/CEST)","0","2301","1000"
"BZN|NL","11.05.2025 03:45 - 11.05.2025 04:00 (CET/CEST)","0","2218","1012"
"BZN|NL","11.05.2025 04:00 - 11.05.2025 04:15 (CET/CEST)","0","2078","1021"
"BZN|NL","11.05.2025 04:15 - 11.05.2025 04:30 (CET/CEST)","0","1973","1010"
"BZN|NL","11.05.2025 04:30 - 11.05.2025 04:45 (CET/CEST)","0","1919","982"
"BZN|NL","11.05.2025 04:45 - 11.05.2025 05:00 (CET/CEST)","0","1859","941"
"BZN|NL","11.05.2025 05:00 - 11.05.2025 05:15 (CET/CEST)","0","1763","923"
"BZN|NL","11.05.2025 05:15 - 11.05.2025 05:30 (CET/CEST)","0","1667","893"
"BZN|NL","11.05.2025 05:30 - 11.05.2025 05:45 (CET/CEST)","0","1588","868"
"BZN|NL","11.05.2025 05:45 - 11.05.2025 06:00 (CET/CEST)","2","1506","851"
"BZN|NL","11.05.2025 06:00 - 11.05.2025 06:15 (CET/CEST)","6","1466","807"
"BZN|NL","11.05.2025 06:15 - 11.05.2025 06:30 (CET/CEST)","12","1451","767"
"BZN|NL","11.05.2025 06:30 - 11.05.2025 06:45 (CET/CEST)","21","1411","773"
"BZN|NL","11.05.2025 06:45 - 11.05.2025 07:00 (CET/CEST)","32","1351","772"
"BZN|NL","11.05.2025 07:00 - 11.05.2025 07:15 (CET/CEST)","47","1310","792"
"BZN|NL","11.05.2025 07:15 - 11.05.2025 07:30 (CET/CEST)","66","1318","767"
"BZN|NL","11.05.2025 07:30 - 11.05.2025 07:45 (CET/CEST)","88","1304","706"
"BZN|NL","11.05.2025 07:45 - 11.05.2025 08:00 (CET/CEST)","112","1308","624"
"BZN|NL","11.05.2025 08:00 - 11.05.2025 08:15 (CET/CEST)","137","1334","540"
"BZN|NL","11.05.2025 08:15 - 11.05.2025 08:30 (CET/CEST)","163","1303","444"
"BZN|NL","11.05.2025 08:30 - 11.05.2025 08:45 (CET/CEST)","187","1277","380"
"BZN|NL","11.05.2025 08:45 - 11.05.2025 09:00 (CET/CEST)","213","1022","350"
"BZN|NL","11.05.2025 09:00 - 11.05.2025 09:15 (CET/CEST)","97","1298","241"
