"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","13.03.2025 00:00 - 13.03.2025 00:15 (CET/CEST)","0","413","146"
"BZN|NL","13.03.2025 00:15 - 13.03.2025 00:30 (CET/CEST)","0","404","143"
"BZN|NL","13.03.2025 00:30 - 13.03.2025 00:45 (CET/CEST)","0","460","133"
"BZN|NL","13.03.2025 00:45 - 13.03.2025 01:00 (CET/CEST)","0","547","134"
"BZN|NL","13.03.2025 01:00 - 13.03.2025 01:15 (CET/CEST)","0","610","142"
"BZN|NL","13.03.2025 01:15 - 13.03.2025 01:30 (CET/CEST)","0","631","140"
"BZN|NL","13.03.2025 01:30 - 13.03.2025 01:45 (CET/CEST)","0","682","162"
"BZN|NL","13.03.2025 01:45 - 13.03.2025 02:00 (CET/CEST)","0","800","162"
"BZN|NL","13.03.2025 02:00 - 13.03.2025 02:15 (CET/CEST)","0","841","166"
"BZN|NL","13.03.2025 02:15 - 13.03.2025 02:30 (CET/CEST)","0","852","188"
"BZN|NL","13.03.2025 02:30 - 13.03.2025 02:45 (CET/CEST)","0","771","199"
"BZN|NL","13.03.2025 02:45 - 13.03.2025 03:00 (CET/CEST)","0","845","167"
"BZN|NL","13.03.2025 03:00 - 13.03.2025 03:15 (CET/CEST)","0","696","191"
"BZN|NL","13.03.2025 03:15 - 13.03.2025 03:30 (CET/CEST)","0","543","169"
"BZN|NL","13.03.2025 03:30 - 13.03.2025 03:45 (CET/CEST)","0","454","148"
"BZN|NL","13.03.2025 03:45 - 13.03.2025 04:00 (CET/CEST)","0","585","140"
"BZN|NL","13.03.2025 04:00 - 13.03.2025 04:15 (CET/CEST)","0","575","136"
"BZN|NL","13.03.2025 04:15 - 13.03.2025 04:30 (CET/CEST)","0","502","128"
"BZN|NL","13.03.2025 04:30 - 13.03.2025 04:45 (CET/CEST)","0","538","117"
"BZN|NL","13.03.2025 04:45 - 13.03.2025 05:00 (CET/CEST)","0","625","106"
"BZN|NL","13.03.2025 05:00 - 13.03.2025 05:15 (CET/CEST)","0","595","109"
"BZN|NL","13.03.2025 05:15 - 13.03.2025 05:30 (CET/CEST)","0","711","141"
"BZN|NL","13.03.2025 05:30 - 13.03.2025 05:45 (CET/CEST)","0","673","134"
"BZN|NL","13.03.2025 05:45 - 13.03.2025 06:00 (CET/CEST)","0","668","118"
"BZN|NL","13.03.2025 06:00 - 13.03.2025 06:15 (CET/CEST)","0","639","113"
"BZN|NL","13.03.2025 06:15 - 13.03.2025 06:30 (CET/CEST)","0","578","128"
"BZN|NL","13.03.2025 06:30 - 13.03.2025 06:45 (CET/CEST)","0","672","140"
"BZN|NL","13.03.2025 06:45 - 13.03.2025 07:00 (CET/CEST)","0","738","140"
"BZN|NL","13.03.2025 07:00 - 13.03.2025 07:15 (CET/CEST)","5","688","164"
"BZN|NL","13.03.2025 07:15 - 13.03.2025 07:30 (CET/CEST)","10","703","181"
"BZN|NL","13.03.2025 07:30 - 13.03.2025 07:45 (CET/CEST)","16","810","177"
"BZN|NL","13.03.2025 07:45 - 13.03.2025 08:00 (CET/CEST)","28","988","192"
"BZN|NL","13.03.2025 08:00 - 13.03.2025 08:15 (CET/CEST)","44","1025","201"
"BZN|NL","13.03.2025 08:15 - 13.03.2025 08:30 (CET/CEST)","59","990","190"
"BZN|NL","13.03.2025 08:30 - 13.03.2025 08:45 (CET/CEST)","69","849","182"
"BZN|NL","13.03.2025 08:45 - 13.03.2025 09:00 (CET/CEST)","79","953","214"
"BZN|NL","13.03.2025 09:00 - 13.03.2025 09:15 (CET/CEST)","117","989","250"
"BZN|NL","13.03.2025 09:15 - 13.03.2025 09:30 (CET/CEST)","143","763","208"
"BZN|NL","13.03.2025 09:30 - 13.03.2025 09:45 (CET/CEST)","147","734","265"
"BZN|NL","13.03.2025 09:45 - 13.03.2025 10:00 (CET/CEST)","148","969","274"
"BZN|NL","13.03.2025 10:00 - 13.03.2025 10:15 (CET/CEST)","199","1270","299"
"BZN|NL","13.03.2025 10:15 - 13.03.2025 10:30 (CET/CEST)","197","1362","312"
"BZN|NL","13.03.2025 10:30 - 13.03.2025 10:45 (CET/CEST)","177","1219","258"
"BZN|NL","13.03.2025 10:45 - 13.03.2025 11:00 (CET/CEST)","105","1175","279"
"BZN|NL","13.03.2025 11:00 - 13.03.2025 11:15 (CET/CEST)","173","1324","312"
"BZN|NL","13.03.2025 11:15 - 13.03.2025 11:30 (CET/CEST)","247","1277","325"
"BZN|NL","13.03.2025 11:30 - 13.03.2025 11:45 (CET/CEST)","243","1273","380"
"BZN|NL","13.03.2025 11:45 - 13.03.2025 12:00 (CET/CEST)","203","1397","408"
"BZN|NL","13.03.2025 12:00 - 13.03.2025 12:15 (CET/CEST)","79","1415","453"
"BZN|NL","13.03.2025 12:15 - 13.03.2025 12:30 (CET/CEST)","117","1337","414"
"BZN|NL","13.03.2025 12:30 - 13.03.2025 12:45 (CET/CEST)","141","1409","425"
"BZN|NL","13.03.2025 12:45 - 13.03.2025 13:00 (CET/CEST)","123","1529","460"
"BZN|NL","13.03.2025 13:00 - 13.03.2025 13:15 (CET/CEST)","112","1508","519"
"BZN|NL","13.03.2025 13:15 - 13.03.2025 13:30 (CET/CEST)","80","1400","528"
