Timestamp,Solar - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
2025-09-09 00:00:00,0.0,0.0047554004148328026,0.0226384269794037
2025-09-09 01:00:00,0.0,0.006020134567713866,0.020771340218215764
2025-09-09 02:00:00,0.0,0.007588404917286387,0.019662757453760428
2025-09-09 03:00:00,0.0,0.0007588404917286386,0.017562284847424003
2025-09-09 04:00:00,0.0,5.0589366115242574e-05,0.018437481766730848
2025-09-09 05:00:00,0.0,0.0011635554206505792,0.01692047377326565
2025-09-09 06:00:00,0.0,0.0035412556280669805,0.019195985763463447
2025-09-09 07:00:00,0.010330578512396695,0.008347245409015025,0.02637260050177957
2025-09-09 08:00:00,0.046831955922865015,0.008549602873475995,0.03518291615613513
2025-09-09 09:00:00,0.11019283746556474,0.011332018009814338,0.02981504171771982
2025-09-09 10:00:00,0.07644628099173553,0.019072191025446453,0.02742283680494778
2025-09-09 11:00:00,0.026859504132231406,0.041382101482268424,0.0338409475465313
2025-09-09 12:00:00,0.03512396694214876,0.04497394647645065,0.03430771923682829
2025-09-09 13:00:00,0.06473829201101929,0.0647543886275105,0.03576638076900636
2025-09-09 14:00:00,0.1797520661157025,0.05529417716396014,0.05437890191959858
2025-09-09 15:00:00,0.18457300275482094,0.032680730510446704,0.10233969309761363
2025-09-09 16:00:00,0.11225895316804407,0.037385541559164265,0.12171071824493844
2025-09-09 17:00:00,0.08333333333333333,0.047250467951636566,0.08932843223058522
2025-09-09 18:00:00,0.05027548209366391,0.06718267820104214,0.0630725246513799
2025-09-09 19:00:00,0.01928374655647383,0.1349724287954672,0.05729622498395472
2025-09-09 20:00:00,0.0,0.07917235797035463,0.045743625649104384
2025-09-09 21:00:00,0.0,0.06763798249607933,0.040200711826827704
2025-09-09 22:00:00,0.0,0.13674305660950067,0.03716669583989731
2025-09-09 23:00:00,0.0,0.11939090403197249,0.030865278020888034
