"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","16.09.2025 00:00 - 16.09.2025 00:15 (CET/CEST)","0","3800","670"
"BZN|NL","16.09.2025 00:15 - 16.09.2025 00:30 (CET/CEST)","0","3938","711"
"BZN|NL","16.09.2025 00:30 - 16.09.2025 00:45 (CET/CEST)","0","3891","669"
"BZN|NL","16.09.2025 00:45 - 16.09.2025 01:00 (CET/CEST)","0","3842","678"
"BZN|NL","16.09.2025 01:00 - 16.09.2025 01:15 (CET/CEST)","0","3488","718"
"BZN|NL","16.09.2025 01:15 - 16.09.2025 01:30 (CET/CEST)","0","3480","717"
"BZN|NL","16.09.2025 01:30 - 16.09.2025 01:45 (CET/CEST)","0","3464","730"
"BZN|NL","16.09.2025 01:45 - 16.09.2025 02:00 (CET/CEST)","0","3493","703"
"BZN|NL","16.09.2025 02:00 - 16.09.2025 02:15 (CET/CEST)","0","3685","713"
"BZN|NL","16.09.2025 02:15 - 16.09.2025 02:30 (CET/CEST)","0","3696","717"
"BZN|NL","16.09.2025 02:30 - 16.09.2025 02:45 (CET/CEST)","0","3695","719"
"BZN|NL","16.09.2025 02:45 - 16.09.2025 03:00 (CET/CEST)","0","3679","715"
"BZN|NL","16.09.2025 03:00 - 16.09.2025 03:15 (CET/CEST)","0","3685","733"
"BZN|NL","16.09.2025 03:15 - 16.09.2025 03:30 (CET/CEST)","0","3688","726"
"BZN|NL","16.09.2025 03:30 - 16.09.2025 03:45 (CET/CEST)","0","3697","731"
"BZN|NL","16.09.2025 03:45 - 16.09.2025 04:00 (CET/CEST)","0","3690","730"
"BZN|NL","16.09.2025 04:00 - 16.09.2025 04:15 (CET/CEST)","0","3694","718"
"BZN|NL","16.09.2025 04:15 - 16.09.2025 04:30 (CET/CEST)","0","3677","733"
"BZN|NL","16.09.2025 04:30 - 16.09.2025 04:45 (CET/CEST)","0","3690","725"
