"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","15.09.2025 00:00 - 15.09.2025 00:15 (CET/CEST)","0","4273","1778"
"BZN|NL","15.09.2025 00:15 - 15.09.2025 00:30 (CET/CEST)","0","4274","1728"
"BZN|NL","15.09.2025 00:30 - 15.09.2025 00:45 (CET/CEST)","0","4293","1736"
"BZN|NL","15.09.2025 00:45 - 15.09.2025 01:00 (CET/CEST)","0","4242","1769"
"BZN|NL","15.09.2025 01:00 - 15.09.2025 01:15 (CET/CEST)","0","4186","1791"
"BZN|NL","15.09.2025 01:15 - 15.09.2025 01:30 (CET/CEST)","0","4229","1821"
"BZN|NL","15.09.2025 01:30 - 15.09.2025 01:45 (CET/CEST)","0","4237","1804"
"BZN|NL","15.09.2025 01:45 - 15.09.2025 02:00 (CET/CEST)","0","4178","1898"
"BZN|NL","15.09.2025 02:00 - 15.09.2025 02:15 (CET/CEST)","0","4182","1853"
"BZN|NL","15.09.2025 02:15 - 15.09.2025 02:30 (CET/CEST)","0","4147","1867"
"BZN|NL","15.09.2025 02:30 - 15.09.2025 02:45 (CET/CEST)","0","4103","1862"
"BZN|NL","15.09.2025 02:45 - 15.09.2025 03:00 (CET/CEST)","0","4099","1893"
"BZN|NL","15.09.2025 03:00 - 15.09.2025 03:15 (CET/CEST)","0","4142","1899"
"BZN|NL","15.09.2025 03:15 - 15.09.2025 03:30 (CET/CEST)","0","4171","1927"
"BZN|NL","15.09.2025 03:30 - 15.09.2025 03:45 (CET/CEST)","0","4166","2025"
"BZN|NL","15.09.2025 03:45 - 15.09.2025 04:00 (CET/CEST)","0","4111","2077"
"BZN|NL","15.09.2025 04:00 - 15.09.2025 04:15 (CET/CEST)","0","3710","2080"
"BZN|NL","15.09.2025 04:15 - 15.09.2025 04:30 (CET/CEST)","0","3651","2028"
"BZN|NL","15.09.2025 04:30 - 15.09.2025 04:45 (CET/CEST)","0","3616","2006"
"BZN|NL","15.09.2025 04:45 - 15.09.2025 05:00 (CET/CEST)","0","3602","2050"
"BZN|NL","15.09.2025 05:00 - 15.09.2025 05:15 (CET/CEST)","0","3573","2081"
"BZN|NL","15.09.2025 05:15 - 15.09.2025 05:30 (CET/CEST)","0","3572","2128"
"BZN|NL","15.09.2025 05:30 - 15.09.2025 05:45 (CET/CEST)","0","3579","2162"
"BZN|NL","15.09.2025 05:45 - 15.09.2025 06:00 (CET/CEST)","0","3586","2180"
"BZN|NL","15.09.2025 06:00 - 15.09.2025 06:15 (CET/CEST)","0","4156","2264"
"BZN|NL","15.09.2025 06:15 - 15.09.2025 06:30 (CET/CEST)","0","4243","2256"
"BZN|NL","15.09.2025 06:30 - 15.09.2025 06:45 (CET/CEST)","0","4233","2254"
"BZN|NL","15.09.2025 06:45 - 15.09.2025 07:00 (CET/CEST)","0","4249","2323"
"BZN|NL","15.09.2025 07:00 - 15.09.2025 07:15 (CET/CEST)","0","4222","2377"
"BZN|NL","15.09.2025 07:15 - 15.09.2025 07:30 (CET/CEST)","3","4213","2383"
"BZN|NL","15.09.2025 07:30 - 15.09.2025 07:45 (CET/CEST)","11","4206","2346"
"BZN|NL","15.09.2025 07:45 - 15.09.2025 08:00 (CET/CEST)","21","4217","2292"
"BZN|NL","15.09.2025 08:00 - 15.09.2025 08:15 (CET/CEST)","31","4220","2276"
"BZN|NL","15.09.2025 08:15 - 15.09.2025 08:30 (CET/CEST)","44","4238","2267"
"BZN|NL","15.09.2025 08:30 - 15.09.2025 08:45 (CET/CEST)","68","4226","2279"
"BZN|NL","15.09.2025 08:45 - 15.09.2025 09:00 (CET/CEST)","72","4220","2222"
"BZN|NL","15.09.2025 09:00 - 15.09.2025 09:15 (CET/CEST)","85","4204","2280"
