"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","16.04.2025 00:00 - 16.04.2025 00:15 (CET/CEST)","0","648","230"
"BZN|NL","16.04.2025 00:15 - 16.04.2025 00:30 (CET/CEST)","0","876","256"
"BZN|NL","16.04.2025 00:30 - 16.04.2025 00:45 (CET/CEST)","0","1052","254"
"BZN|NL","16.04.2025 00:45 - 16.04.2025 01:00 (CET/CEST)","0","1085","275"
"BZN|NL","16.04.2025 01:00 - 16.04.2025 01:15 (CET/CEST)","0","1171","288"
"BZN|NL","16.04.2025 01:15 - 16.04.2025 01:30 (CET/CEST)","0","1500","346"
"BZN|NL","16.04.2025 01:30 - 16.04.2025 01:45 (CET/CEST)","0","1908","395"
"BZN|NL","16.04.2025 01:45 - 16.04.2025 02:00 (CET/CEST)","0","2295","454"
"BZN|NL","16.04.2025 02:00 - 16.04.2025 02:15 (CET/CEST)","0","2479","518"
"BZN|NL","16.04.2025 02:15 - 16.04.2025 02:30 (CET/CEST)","0","2475","558"
"BZN|NL","16.04.2025 02:30 - 16.04.2025 02:45 (CET/CEST)","0","2546","617"
"BZN|NL","16.04.2025 02:45 - 16.04.2025 03:00 (CET/CEST)","0","2694","646"
"BZN|NL","16.04.2025 03:00 - 16.04.2025 03:15 (CET/CEST)","0","2705","579"
"BZN|NL","16.04.2025 03:15 - 16.04.2025 03:30 (CET/CEST)","0","2640","581"
"BZN|NL","16.04.2025 03:30 - 16.04.2025 03:45 (CET/CEST)","0","2713","638"
"BZN|NL","16.04.2025 03:45 - 16.04.2025 04:00 (CET/CEST)","0","2784","705"
"BZN|NL","16.04.2025 04:00 - 16.04.2025 04:15 (CET/CEST)","0","2928","725"
"BZN|NL","16.04.2025 04:15 - 16.04.2025 04:30 (CET/CEST)","0","2938","658"
"BZN|NL","16.04.2025 04:30 - 16.04.2025 04:45 (CET/CEST)","0","3015","622"
"BZN|NL","16.04.2025 04:45 - 16.04.2025 05:00 (CET/CEST)","0","3070","647"
"BZN|NL","16.04.2025 05:00 - 16.04.2025 05:15 (CET/CEST)","0","3117","644"
"BZN|NL","16.04.2025 05:15 - 16.04.2025 05:30 (CET/CEST)","0","2963","628"
"BZN|NL","16.04.2025 05:30 - 16.04.2025 05:45 (CET/CEST)","0","2829","630"
"BZN|NL","16.04.2025 05:45 - 16.04.2025 06:00 (CET/CEST)","0","2816","659"
"BZN|NL","16.04.2025 06:00 - 16.04.2025 06:15 (CET/CEST)","0","2660","634"
"BZN|NL","16.04.2025 06:15 - 16.04.2025 06:30 (CET/CEST)","0","2631","648"
"BZN|NL","16.04.2025 06:30 - 16.04.2025 06:45 (CET/CEST)","1","2418","646"
"BZN|NL","16.04.2025 06:45 - 16.04.2025 07:00 (CET/CEST)","5","2450","650"
"BZN|NL","16.04.2025 07:00 - 16.04.2025 07:15 (CET/CEST)","12","2507","637"
"BZN|NL","16.04.2025 07:15 - 16.04.2025 07:30 (CET/CEST)","17","2478","545"
"BZN|NL","16.04.2025 07:30 - 16.04.2025 07:45 (CET/CEST)","33","2273","489"
"BZN|NL","16.04.2025 07:45 - 16.04.2025 08:00 (CET/CEST)","45","2171","402"
"BZN|NL","16.04.2025 08:00 - 16.04.2025 08:15 (CET/CEST)","43","2066","370"
"BZN|NL","16.04.2025 08:15 - 16.04.2025 08:30 (CET/CEST)","40","1983","327"
"BZN|NL","16.04.2025 08:30 - 16.04.2025 08:45 (CET/CEST)","53","1855","339"
"BZN|NL","16.04.2025 08:45 - 16.04.2025 09:00 (CET/CEST)","65","1805","298"
"BZN|NL","16.04.2025 09:00 - 16.04.2025 09:15 (CET/CEST)","56","1782","294"
"BZN|NL","16.04.2025 09:15 - 16.04.2025 09:30 (CET/CEST)","75","1754","258"
"BZN|NL","16.04.2025 09:30 - 16.04.2025 09:45 (CET/CEST)","76","1638","233"
"BZN|NL","16.04.2025 09:45 - 16.04.2025 10:00 (CET/CEST)","113","1728","203"
"BZN|NL","16.04.2025 10:00 - 16.04.2025 10:15 (CET/CEST)","80","1945","186"
"BZN|NL","16.04.2025 10:15 - 16.04.2025 10:30 (CET/CEST)","63","1952","200"
"BZN|NL","16.04.2025 10:30 - 16.04.2025 10:45 (CET/CEST)","72","2017","206"
"BZN|NL","16.04.2025 10:45 - 16.04.2025 11:00 (CET/CEST)","95","2190","212"
"BZN|NL","16.04.2025 11:00 - 16.04.2025 11:15 (CET/CEST)","97","2289","221"
"BZN|NL","16.04.2025 11:15 - 16.04.2025 11:30 (CET/CEST)","106","2140","269"
"BZN|NL","16.04.2025 11:30 - 16.04.2025 11:45 (CET/CEST)","127","2008","294"
"BZN|NL","16.04.2025 11:45 - 16.04.2025 12:00 (CET/CEST)","193","1714","341"
"BZN|NL","16.04.2025 12:00 - 16.04.2025 12:15 (CET/CEST)","134","1969","384"
"BZN|NL","16.04.2025 12:15 - 16.04.2025 12:30 (CET/CEST)","110","1974","380"
"BZN|NL","16.04.2025 12:30 - 16.04.2025 12:45 (CET/CEST)","104","1993","377"
"BZN|NL","16.04.2025 12:45 - 16.04.2025 13:00 (CET/CEST)","89","1955","335"
"BZN|NL","16.04.2025 13:00 - 16.04.2025 13:15 (CET/CEST)","74","1817","321"
"BZN|NL","16.04.2025 13:15 - 16.04.2025 13:30 (CET/CEST)","81","1774","316"
"BZN|NL","16.04.2025 13:30 - 16.04.2025 13:45 (CET/CEST)","103","1718","332"
"BZN|NL","16.04.2025 13:45 - 16.04.2025 14:00 (CET/CEST)","99","1699","308"
"BZN|NL","16.04.2025 14:00 - 16.04.2025 14:15 (CET/CEST)","99","1614","296"
"BZN|NL","16.04.2025 14:15 - 16.04.2025 14:30 (CET/CEST)","88","1528","300"
"BZN|NL","16.04.2025 14:30 - 16.04.2025 14:45 (CET/CEST)","85","1558","333"
"BZN|NL","16.04.2025 14:45 - 16.04.2025 15:00 (CET/CEST)","67","1583","297"
"BZN|NL","16.04.2025 15:00 - 16.04.2025 15:15 (CET/CEST)","54","1578","229"
"BZN|NL","16.04.2025 15:15 - 16.04.2025 15:30 (CET/CEST)","52","1501","204"
