"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","16.04.2025 15:30 - 16.04.2025 15:45 (CET/CEST)","58","1439","189"
"BZN|NL","16.04.2025 15:45 - 16.04.2025 16:00 (CET/CEST)","50","1383","183"
"BZN|NL","16.04.2025 16:00 - 16.04.2025 16:15 (CET/CEST)","46","1374","182"
"BZN|NL","16.04.2025 16:15 - 16.04.2025 16:30 (CET/CEST)","45","1305","165"
"BZN|NL","16.04.2025 16:30 - 16.04.2025 16:45 (CET/CEST)","34","1253","145"
"BZN|NL","16.04.2025 16:45 - 16.04.2025 17:00 (CET/CEST)","27","1300","138"
"BZN|NL","16.04.2025 17:00 - 16.04.2025 17:15 (CET/CEST)","32","1313","131"
"BZN|NL","16.04.2025 17:15 - 16.04.2025 17:30 (CET/CEST)","33","1263","131"
"BZN|NL","16.04.2025 17:30 - 16.04.2025 17:45 (CET/CEST)","27","1296","115"
"BZN|NL","16.04.2025 17:45 - 16.04.2025 18:00 (CET/CEST)","20","1344","113"
"BZN|NL","16.04.2025 18:00 - 16.04.2025 18:15 (CET/CEST)","18","1348","109"
"BZN|NL","16.04.2025 18:15 - 16.04.2025 18:30 (CET/CEST)","14","1295","99"
"BZN|NL","16.04.2025 18:30 - 16.04.2025 18:45 (CET/CEST)","11","1215","84"
"BZN|NL","16.04.2025 18:45 - 16.04.2025 19:00 (CET/CEST)","9","1156","76"
"BZN|NL","16.04.2025 19:00 - 16.04.2025 19:15 (CET/CEST)","9","1139","74"
"BZN|NL","16.04.2025 19:15 - 16.04.2025 19:30 (CET/CEST)","6","1134","70"
"BZN|NL","16.04.2025 19:30 - 16.04.2025 19:45 (CET/CEST)","3","1023","56"
"BZN|NL","16.04.2025 19:45 - 16.04.2025 20:00 (CET/CEST)","3","874","55"
"BZN|NL","16.04.2025 20:00 - 16.04.2025 20:15 (CET/CEST)","1","779","59"
"BZN|NL","16.04.2025 20:15 - 16.04.2025 20:30 (CET/CEST)","0","732","64"
"BZN|NL","16.04.2025 20:30 - 16.04.2025 20:45 (CET/CEST)","0","708","62"
"BZN|NL","16.04.2025 20:45 - 16.04.2025 21:00 (CET/CEST)","0","740","45"
"BZN|NL","16.04.2025 21:00 - 16.04.2025 21:15 (CET/CEST)","0","772","45"
"BZN|NL","16.04.2025 21:15 - 16.04.2025 21:30 (CET/CEST)","0","810","49"
"BZN|NL","16.04.2025 21:30 - 16.04.2025 21:45 (CET/CEST)","0","807","59"
"BZN|NL","16.04.2025 21:45 - 16.04.2025 22:00 (CET/CEST)","0","804","57"
"BZN|NL","16.04.2025 22:00 - 16.04.2025 22:15 (CET/CEST)","0","780","55"
"BZN|NL","16.04.2025 22:15 - 16.04.2025 22:30 (CET/CEST)","0","757","67"
"BZN|NL","16.04.2025 22:30 - 16.04.2025 22:45 (CET/CEST)","0","696","88"
"BZN|NL","16.04.2025 22:45 - 16.04.2025 23:00 (CET/CEST)","0","662","71"
"BZN|NL","16.04.2025 23:00 - 16.04.2025 23:15 (CET/CEST)","0","623","56"
"BZN|NL","16.04.2025 23:15 - 16.04.2025 23:30 (CET/CEST)","0","591","55"
"BZN|NL","16.04.2025 23:30 - 16.04.2025 23:45 (CET/CEST)","0","542","54"
"BZN|NL","16.04.2025 23:45 - 17.04.2025 00:00 (CET/CEST)","0","474","54"
